code;parent;label-pt_PT;label-en_US;label-es_AR;label-pt_BR
521;515;Grooming;Grooming;Grooming;Grooming
461;458;"Orijen Gatos";"Orijen Gatos";"Orijen Gatos";"Orijen Gatos"
747;656;"Black Friday HP";"Black Friday HP";"Black Friday HP";"Black Friday HP"
481;474;"Acessórios e Brinquedos";"Acessórios e Brinquedos";"Acessórios e Brinquedos";"Acessórios e Brinquedos"
462;458;"Orijen Cães";"Orijen Cães";"Orijen Cães";"Orijen Cães"
673;669;"END FLEAS";"END FLEAS";"END FLEAS";"END FLEAS"
450;436;"Royal Canin Gatos Idade";"Royal Canin Gatos Idade";"Royal Canin Gatos Idade";"Royal Canin Gatos Idade"
655;651;"Pele e pêlo";"Skin & Coat Care";"Piel y Pelo";"Pele e pêlo"
443;439;"Royal Canin Cães Giant";"Royal Canin Cães Giant";"Royal Canin Cães Giant";"Royal Canin Cães Giant"
523;515;Brinquedos;Toys;Juguetes;Brinquedos
397;358;Brinquedos;Toys;Juguetes;Brinquedos
376;356;Brinquedos;Toys;Juguetes;Brinquedos
451;436;"Royal Canin Gatos Pure Feline";"Royal Canin Gatos Pure Feline";"Royal Canin Gatos Pure Feline";"Royal Canin Gatos Pure Feline"
444;439;"Royal Canin Cães Maxi";"Royal Canin Cães Maxi";"Royal Canin Cães Maxi";"Royal Canin Cães Maxi"
674;669;"Adaptil 10% Off";"Adaptil 10% Off";"Adaptil 10% Off";"Adaptil 10% Off"
524;515;Acessórios;Accessories;Accessorios;Acessórios
676;669;"Tratar e Prevenir Bolas de Pêlo";"Prevent Hairballs";"Prevent Hairballs";"Tratar e Prevenir Bolas de Pêlo"
487;474;"Tamanho da Raça";"Tamanho da Raça";"Tamanho da Raça";"Tamanho da Raça"
452;436;"Royal Canin Gatos Care Feline";"Royal Canin Gatos Care Feline";"Royal Canin Gatos Care Feline";"Royal Canin Gatos Care Feline"
445;439;"Royal Canin Cães Medium";"Royal Canin Cães Medium";"Royal Canin Cães Medium";"Royal Canin Cães Medium"
501;474;Shedding;Shedding;Shedding;Shedding
446;439;"Royal Canin Cães Mini";"Royal Canin Cães Mini";"Royal Canin Cães Mini";"Royal Canin Cães Mini"
677;669;"Healthy Bites";"Healthy Bites";"Healthy Bites";"Healthy Bites"
504;474;"Fur Type";"Fur Type";"Fur Type";"Fur Type"
678;669;"Oferta Toalha de Praia Dingonatura";"Oferta Toalha de Praia Dingonatura";"Oferta Toalha de Praia Dingonatura";"Oferta Toalha de Praia Dingonatura"
734;669;"Semana Saúde Oral";"Dental Care Week";"Dental Care Week";"Semana Saúde Oral"
509;474;"Fur Color";"Fur Color";"Fur Color";"Fur Color"
736;669;"Dia do Animal";"Animal Day";"Dia de los Animales";"Dia do Animal"
514;474;"Não Recomendado Gestantes e Lactantes";"Não Recomendado Gestantes e Lactantes";"Não Recomendado Gestantes e Lactantes";"Não Recomendado Gestantes e Lactantes"
740;669;"Black Friday -10%";"Black Friday -10%";"Black Friday -10%";"Black Friday -10%"
741;669;"Black Friday -20%";"Black Friday -20%";"Black Friday -20%";"Black Friday -20%"
755;669;"Para o Inverno";"Winter Essentials";"Para el Invierno";"Para o Inverno"
756;669;Gradients;Gradients;Gradients;Gradients
872;669;Grooming;Grooming;Grooming;Grooming
926;669;"Covid-19: Essenciais para Quarentena";"Covid-19: Quarantine Essentials";"Covid-19: Esenciales para Cuarentena";"Covid-19: Essenciais para Quarentena"
930;669;Suplementos;Supplements;Suplementos;Suplementos
933;669;"Trixie 10%";"Trixie 10%";"Trixie 10%";"Trixie 10%"
735;418;"Heating & Lighting";"Heating & Lighting";"Heating & Lighting";"Heating & Lighting"
525;516;Dingo;Dingo;Dingo;Dingo
518;517;Ração;Ração;Ração;Ração
357;587;"Alimentação Seca";"Dry Food";Piensos;"Alimentação Seca"
411;410;Rações;Food;Comida;Rações
502;501;Moderada;Moderada;Moderada;Moderada
730;418;Comida;Food;Comida;Comida
743;742;Zee.Dog;Zee.Dog;Zee.Dog;Zee.Dog
359;588;"Alimentação Seca";"Dry Food";Piensos;"Alimentação Seca"
505;504;Curto;Curto;Curto;Curto
510;509;Branco;Branco;Branco;Branco
363;362;Desparasitantes;"Antiparasitics and repellents";Desparasitación;Desparasitantes
365;364;Desparasitantes;"Antiparasitics and repellents";Desparasitación;Desparasitantes
757;370;Grooming;Grooming;Grooming;Grooming
690;682;"Peixes de Água Doce Tropical";"Tropical Freshwater";"Peces Tropicales de Agua Dulce";"Peixes de Água Doce Tropical"
931;930;"Suplementos para Cães";"Dog Supplements";"Suplementos para Perros";"Suplementos para Cães"
598;376;Exercício;"Fetch Toys";Ejercício;Exercício
406;405;Acessórios;Accessories;Accesorios;Acessórios
683;737;Aquários;"Aquariums & Starter Kits";Acuarios;Aquários
927;926;"Covid-19: Cães - Essenciais para Quarentena";"Covid-19: Quarantine Essentials for Dogs";"Covid-19: Perros - Esenciales para Cuarentena";"Covid-19: Cães - Essenciais para Quarentena"
890;366;"Areias e Acessórios";"Litter & Accessories";"Areias y Accesorios";"Areias e Acessórios"
479;487;"Todos os Tamanhos";"Todos os Tamanhos";"Todos os Tamanhos";"Todos os Tamanhos"
934;671;"Fontes de Água para Cães";"Water Fountains For Dogs";"Water Fountains For Dogs";"Fontes de Água para Cães"
591;397;Bolas;Balls;Pelotas;Bolas
482;487;"Raças Mini";"Raças Mini";"Raças Mini";"Raças Mini"
519;517;Acessórios;Acessórios;Acessórios;Acessórios
744;742;"Woof & Brew";"Woof & Brew";"Woof & Brew";"Woof & Brew"
602;376;"Para Roer";"Chew Toys";Mordedores;"Para Roer"
375;364;"Proteção Renal";"Renal Care";"Protección Renal";"Proteção Renal"
369;588;"Alimentação Húmida";"Wet Food";"Comida Húmeda";"Alimentação Húmida"
684;737;"Incubação de Peixes";"Fish Hatching";"Incubación de Peces";"Incubação de Peixes"
691;682;"Peixes Betta";Betta;"Peces Betta";"Peixes Betta"
592;397;"Peluches e Ratos";"Plush and Mice";"Peluches y Ratones";"Pelúcias e Ratos"
415;410;Acessórios;Accessories;Accesorios;Acessórios
408;418;Acessórios;Accessories;Accesorios;Acessórios
503;501;Elevada;Elevada;Elevada;Elevada
